cruise,depth,temperature,conductivity,salinity,density,oxygen2
EX1903L1,2.277,27.444,5.803292,36.7019,1023.8597,6.3757
EX1903L1,2.233,27.4438,5.803251,36.7018,1023.8594,6.3831
EX1903L1,2.285,27.4436,5.803243,36.7019,1023.8602,6.3812
EX1903L1,2.277,27.4428,5.80313,36.7017,1023.8609,6.3854
EX1903L1,2.285,27.4413,5.802953,36.7016,1023.8606,6.3865
EX1903L1,2.277,27.4408,5.80301,36.7024,1023.8608,6.3842
EX1903L1,2.285,27.4415,5.803018,36.702,1023.8605,6.3913
EX1903L1,2.285,27.4407,5.802889,36.7016,1023.8603,6.3894
EX1903L1,2.277,27.44,5.802897,36.7022,1023.8606,6.3935
EX1903L1,2.344,27.4407,5.803114,36.7033,1023.861,6.3945
EX1903L1,2.285,27.4417,5.803155,36.7028,1023.8609,6.3953
EX1903L1,2.329,27.4417,5.803074,36.7022,1023.8605,6.396
EX1903L1,2.285,27.4409,5.802905,36.7016,1023.8598,6.3969
EX1903L1,2.455,27.4397,5.802752,36.7014,1023.8611,6.4011
EX1903L1,2.389,27.4389,5.802856,36.7028,1023.8624,6.3987
EX1903L1,2.344,27.4404,5.803155,36.7038,1023.8617,6.4021
EX1903L1,2.389,27.4419,5.803195,36.7028,1023.8625,6.4022
EX1903L1,2.396,27.4424,5.803227,36.7027,1023.8633,6.399
EX1903L1,2.455,27.4422,5.803131,36.7021,1023.8636,6.3987
EX1903L1,2.441,27.442,5.803058,36.7018,1023.8634,6.4017
EX1903L1,2.396,27.4414,5.80305,36.7022,1023.8626,6.4012
EX1903L1,2.455,27.4407,5.80305,36.7027,1023.8623,6.4041
EX1903L1,2.441,27.4415,5.803155,36.7029,1023.8616,6.4006
EX1903L1,2.455,27.4418,5.803219,36.7031,1023.8614,6.4001
EX1903L1,2.441,27.4427,5.803381,36.7036,1023.861,6.403
EX1903L1,2.455,27.4435,5.803429,36.7033,1023.8623,6.4031
EX1903L1,2.455,27.4446,5.803429,36.7024,1023.8628,6.4059
EX1903L1,2.492,27.4448,5.803501,36.7027,1023.8621,6.4025
EX1903L1,2.455,27.4453,5.803622,36.7032,1023.8614,6.4019
EX1903L1,2.455,27.446,5.80359,36.7024,1023.8617,6.4015
EX1903L1,2.492,27.446,5.803501,36.7018,1023.8618,6.4009
EX1903L1,2.455,27.4457,5.803405,36.7013,1023.8612,6.4036
EX1903L1,2.396,27.4451,5.803413,36.7019,1023.8602,6.4034
EX1903L1,2.552,27.4451,5.803429,36.7019,1023.8607,6.4034
EX1903L1,2.455,27.4448,5.803356,36.7017,1023.8613,6.4032
EX1903L1,2.492,27.4444,5.803292,36.7016,1023.8618,6.4031
EX1903L1,2.396,27.4435,5.803139,36.7012,1023.8612,6.4028
EX1903L1,2.455,27.4418,5.803098,36.7022,1023.8622,6.3994
EX1903L1,2.441,27.4421,5.803131,36.7022,1023.8626,6.3987
EX1903L1,2.455,27.4422,5.803171,36.7024,1023.8619,6.3978
EX1903L1,2.455,27.4424,5.803187,36.7024,1023.8613,6.3972
EX1903L1,2.389,27.4427,5.803219,36.7024,1023.8608,6.3965
EX1903L1,2.455,27.4428,5.803203,36.7022,1023.8613,6.393
EX1903L1,2.441,27.4424,5.803268,36.703,1023.861,6.3921
EX1903L1,2.396,27.4433,5.803389,36.7031,1023.8609,6.3914
EX1903L1,2.507,27.445,5.803929,36.7056,1023.8613,6.3907
EX1903L1,2.389,27.4508,5.804663,36.7063,1023.8613,6.3868
EX1903L1,2.396,27.4553,5.804921,36.7046,1023.8617,6.3891
EX1903L1,2.455,27.4592,5.805372,36.7048,1023.862,6.385
EX1903L1,2.441,27.4619,5.804727,36.698,1023.8619,6.3839
EX1903L1,2.455,27.4555,5.803864,36.6969,1023.8613,6.3831
EX1903L1,2.44,27.4499,5.803558,36.6991,1023.8616,6.3822
EX1903L1,2.455,27.4475,5.803598,36.7013,1023.861,6.3814
EX1903L1,2.507,27.447,5.803647,36.7021,1023.8607,6.384
EX1903L1,2.44,27.4466,5.803558,36.7017,1023.8617,6.3835
EX1903L1,2.455,27.4453,5.803276,36.7007,1023.8619,6.3833
EX1903L1,2.507,27.4438,5.803123,36.7008,1023.8621,6.3827
EX1903L1,2.552,27.4424,5.802994,36.701,1023.862,6.3823
EX1903L1,2.455,27.441,5.802881,36.7013,1023.8609,6.3785
EX1903L1,2.559,27.4396,5.802687,36.701,1023.8612,6.3812
EX1903L1,2.552,27.4378,5.802655,36.7021,1023.8611,6.3809
EX1903L1,2.559,27.4374,5.802703,36.7029,1023.8609,6.3773
EX1903L1,2.552,27.4376,5.802647,36.7022,1023.8601,6.3803
EX1903L1,2.559,27.4373,5.80259,36.7021,1023.8612,6.3771
EX1903L1,2.618,27.4369,5.80272,36.7033,1023.8629,6.3739
EX1903L1,2.655,27.4383,5.802905,36.7036,1023.864,6.3736
EX1903L1,2.618,27.4393,5.802994,36.7034,1023.8644,6.3729
EX1903L1,2.618,27.4396,5.802961,36.7029,1023.8649,6.3754
EX1903L1,2.715,27.4402,5.802953,36.7024,1023.865,6.3718
EX1903L1,2.67,27.4401,5.802736,36.7009,1023.8647,6.3745
EX1903L1,2.767,27.4384,5.802526,36.7007,1023.8647,6.368
EX1903L1,2.722,27.4367,5.802437,36.7014,1023.864,6.3705
EX1903L1,2.782,27.4356,5.802357,36.7017,1023.8649,6.367
EX1903L1,2.767,27.4348,5.802365,36.7024,1023.8652,6.3667
EX1903L1,2.833,27.4347,5.802349,36.7023,1023.8655,6.3632
EX1903L1,2.833,27.4347,5.802341,36.7023,1023.866,6.363
EX1903L1,2.878,27.4342,5.802333,36.7026,1023.8658,6.3657
EX1903L1,2.945,27.4339,5.802268,36.7023,1023.8662,6.3688
EX1903L1,2.93,27.4338,5.802309,36.7027,1023.8666,6.3656
EX1903L1,2.885,27.4335,5.802268,36.7027,1023.8661,6.3622
EX1903L1,3.048,27.4336,5.802381,36.7034,1023.867,6.3654
EX1903L1,2.982,27.435,5.802575,36.7037,1023.8664,6.3654
EX1903L1,2.997,27.4362,5.802583,36.7028,1023.8662,6.3655
EX1903L1,3.093,27.4362,5.80243,36.7017,1023.8661,6.3657
EX1903L1,3.048,27.4345,5.802341,36.7023,1023.8661,6.3659
EX1903L1,3.16,27.4343,5.802333,36.7025,1023.8663,6.3631
EX1903L1,3.093,27.4349,5.802413,36.7026,1023.8661,6.3663
EX1903L1,3.219,27.4351,5.802462,36.7027,1023.8664,6.3635
EX1903L1,3.16,27.4347,5.802341,36.7022,1023.8674,6.367
EX1903L1,3.204,27.4336,5.80193,36.7001,1023.8681,6.3673
EX1903L1,3.219,27.4296,5.801325,36.6989,1023.8682,6.3645
EX1903L1,3.256,27.4249,5.800898,36.6996,1023.8688,6.3643
EX1903L1,3.271,27.4218,5.800793,36.7013,1023.868,6.3641
EX1903L1,3.323,27.4207,5.800769,36.7019,1023.8674,6.364
EX1903L1,3.308,27.4203,5.800987,36.7038,1023.8677,6.3641
EX1903L1,3.271,27.4228,5.801196,36.7033,1023.8679,6.364
EX1903L1,3.367,27.4241,5.801148,36.7019,1023.8684,6.3641
EX1903L1,3.323,27.4236,5.801527,36.7051,1023.8684,6.3608
EX1903L1,3.382,27.4278,5.802172,36.7063,1023.8689,6.3605
EX1903L1,3.308,27.4328,5.802728,36.7064,1023.8677,6.36
EX1903L1,3.434,27.4369,5.803075,36.7056,1023.8681,6.3598
EX1903L1,3.219,27.44,5.803179,36.704,1023.8666,6.3592
EX1903L1,3.53,27.4411,5.803083,36.7023,1023.8669,6.3592
EX1903L1,3.382,27.4407,5.80305,36.7025,1023.8655,6.359
EX1903L1,3.367,27.4418,5.803228,36.7028,1023.8646,6.359
EX1903L1,3.382,27.4433,5.803429,36.7031,1023.8647,6.356
EX1903L1,3.382,27.4443,5.803437,36.7024,1023.8645,6.3593
EX1903L1,3.367,27.4446,5.803429,36.7021,1023.8644,6.3594
EX1903L1,3.323,27.4446,5.803284,36.7011,1023.8644,6.3598
EX1903L1,3.367,27.4444,5.803196,36.7006,1023.865,6.3603
EX1903L1,3.323,27.4443,5.803228,36.7009,1023.8641,6.3604
EX1903L1,3.382,27.4437,5.803236,36.7014,1023.8647,6.3578
EX1903L1,3.308,27.4435,5.803276,36.7019,1023.8651,6.3612
EX1903L1,3.271,27.4434,5.803212,36.7015,1023.8647,6.358
EX1903L1,3.308,27.4424,5.803155,36.7019,1023.865,6.3611
EX1903L1,3.271,27.4424,5.803212,36.7023,1023.8643,6.358
EX1903L1,3.219,27.4428,5.803204,36.702,1023.8643,6.3582
EX1903L1,3.204,27.4428,5.803195,36.7019,1023.8647,6.3583
EX1903L1,3.219,27.4422,5.803083,36.7015,1023.8651,6.3619
EX1903L1,3.108,27.4417,5.80305,36.7018,1023.8641,6.3586
EX1903L1,3.204,27.4408,5.802937,36.7016,1023.8648,6.3622
EX1903L1,3.16,27.4398,5.802873,36.7019,1023.8652,6.3624
EX1903L1,3.145,27.4398,5.802962,36.7026,1023.865,6.3625
EX1903L1,3.108,27.44,5.803002,36.7027,1023.8649,6.3593
EX1903L1,3.048,27.4405,5.803002,36.7024,1023.8645,6.359
EX1903L1,3.041,27.4404,5.80297,36.7022,1023.8646,6.3559
EX1903L1,3.048,27.4406,5.802921,36.7017,1023.8651,6.3559
EX1903L1,3.041,27.4402,5.802865,36.7016,1023.8651,6.3557
EX1903L1,2.996,27.4401,5.802929,36.7022,1023.8642,6.3553
EX1903L1,2.944,27.4396,5.802954,36.7027,1023.8643,6.3551
EX1903L1,2.93,27.44,5.802921,36.7022,1023.8636,6.3518
EX1903L1,2.885,27.4398,5.802978,36.7028,1023.8633,6.3516
EX1903L1,2.833,27.4407,5.803147,36.7034,1023.8631,6.3547
EX1903L1,2.818,27.4413,5.803123,36.7027,1023.8638,6.3516
EX1903L1,2.781,27.4411,5.803058,36.7024,1023.8634,6.3513
EX1903L1,2.715,27.441,5.803082,36.7027,1023.8628,6.3511
EX1903L1,2.722,27.4407,5.803195,36.7037,1023.8628,6.351
EX1903L1,2.722,27.442,5.803276,36.7032,1023.8628,6.351
EX1903L1,2.655,27.4431,5.803356,36.703,1023.8626,6.351
EX1903L1,2.559,27.4436,5.803276,36.7021,1023.8619,6.3508
EX1903L1,2.559,27.4435,5.803235,36.7019,1023.8616,6.3507
EX1903L1,2.492,27.4435,5.803276,36.7022,1023.8612,6.3507
EX1903L1,2.507,27.4439,5.803292,36.7019,1023.8613,6.3508
EX1903L1,2.44,27.4438,5.803356,36.7025,1023.8609,6.3508
EX1903L1,2.396,27.4438,5.803308,36.7021,1023.8608,6.3508
EX1903L1,2.396,27.4437,5.803284,36.7021,1023.8606,6.3509
EX1903L1,2.329,27.4438,5.803356,36.7026,1023.8602,6.3508
EX1903L1,2.344,27.4437,5.80334,36.7025,1023.8604,6.3508
EX1903L1,2.233,27.444,5.803332,36.7022,1023.8601,6.3507
EX1903L1,2.166,27.4443,5.80334,36.7021,1023.86,6.3507
EX1903L1,2.233,27.4442,5.803364,36.7023,1023.8602,6.3507
EX1903L1,2.07,27.444,5.803308,36.7021,1023.8592,6.3539
EX1903L1,2.218,27.444,5.803284,36.7019,1023.8599,6.3543
EX1903L1,2.07,27.4441,5.803284,36.7019,1023.8592,6.3545
EX1903L1,2.055,27.444,5.803316,36.7022,1023.8591,6.3547
EX1903L1,2.018,27.444,5.8033,36.7021,1023.8589,6.3582
EX1903L1,2.018,27.4441,5.803316,36.7021,1023.859,6.3555
EX1903L1,2.003,27.4438,5.803332,36.7024,1023.8588,6.3559
EX1903L1,1.958,27.4437,5.803122,36.7011,1023.8584,6.3595
EX1903L1,1.958,27.4411,5.802832,36.701,1023.8586,6.3569
EX1903L1,1.892,27.4392,5.802663,36.7013,1023.8587,6.3572
EX1903L1,1.906,27.4378,5.802622,36.7021,1023.8593,6.3609
EX1903L1,1.906,27.4378,5.802663,36.7024,1023.8593,6.3614
EX1903L1,1.84,27.4382,5.802735,36.7027,1023.8593,6.362
EX1903L1,1.855,27.4383,5.802759,36.7028,1023.8591,6.3624
EX1903L1,1.84,27.4385,5.802832,36.7031,1023.8584,6.366
